,Unnamed: 0,name,class,confidence,target_id,actual_id
130,130,./test\00130.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,36,42.0
131,131,./test\00131.png,Rechts vorbei,0.08104515,3,38.0
132,132,./test\00132.png,Stoppschild,0.98362929,14,14.0
133,133,./test\00133.png,Vorfahrt gewähren,0.99926561,13,13.0
134,134,./test\00134.png,Einmalige Vorfahrt,0.99845266,11,11.0
135,135,./test\00135.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.93668878,10,10.0
136,136,./test\00136.png,Gefahrenstelle,0.91805404,18,18.0
137,137,./test\00137.png,Zulässige Höchstgeschwindigkeit (100),0.05917352,40,7.0
138,138,./test\00138.png,Zulässige Höchstgeschwindigkeit (50),0.98618871,2,2.0
139,139,./test\00139.png,Rechts vorbei,0.99992013,38,38.0
140,140,./test\00140.png,Überholverbot für Kraftfahrzeuge aller Art,0.25400281,41,9.0
141,141,./test\00141.png,Zulässige Höchstgeschwindigkeit (120),0.30247077,4,8.0
142,142,./test\00142.png,Ende der Geschwindigkeitsbegrenzung (80),0.99405754,6,6.0
143,143,./test\00143.png,Gefahrenstelle,0.18981151,18,18.0
144,144,./test\00144.png,Verbot der Einfahrt,0.99999952,17,17.0
145,145,./test\00145.png,Wildwechsel,0.1549152,25,31.0
146,146,./test\00146.png,Zulässige Höchstgeschwindigkeit (50),0.98988497,2,2.0
147,147,./test\00147.png,Überholverbot für Kraftfahrzeuge aller Art,0.83560711,41,9.0
148,148,./test\00148.png,Einmalige Vorfahrt,0.93533146,11,11.0
149,149,./test\00149.png,Doppelkurve (zunächst links),0.93250936,21,21.0
150,150,./test\00150.png,Zulässige Höchstgeschwindigkeit (100),0.26304278,7,7.0
151,151,./test\00151.png,Zulässige Höchstgeschwindigkeit (50),0.11687381,24,2.0
152,152,./test\00152.png,Einmalige Vorfahrt,0.76635885,11,11.0
153,153,./test\00153.png,Baustelle,0.99942386,25,25.0
154,154,./test\00154.png,Verbot der Einfahrt,1.0,17,17.0
155,155,./test\00155.png,Zulässige Höchstgeschwindigkeit (60),0.38969362,3,3.0
156,156,./test\00156.png,Ende der Geschwindigkeitsbegrenzung (80),0.49182341,6,6.0
157,157,./test\00157.png,Überholverbot für Kraftfahrzeuge aller Art,0.99990845,9,9.0
158,158,./test\00158.png,Zulässige Höchstgeschwindigkeit (100),0.67270797,7,7.0
159,159,./test\00159.png,Zulässige Höchstgeschwindigkeit (70),0.19810687,4,4.0
160,160,./test\00160.png,Vorfahrt gewähren,0.99997711,13,13.0
161,161,./test\00161.png,"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t",0.99997628,16,16.0
162,162,./test\00162.png,Zulässige Höchstgeschwindigkeit (70),0.84672105,4,4.0
163,163,./test\00163.png,Wildwechsel,0.17775826,25,31.0
164,164,./test\00164.png,Gefahrenstelle,0.43179077,18,18.0
165,165,./test\00165.png,Überholverbot für Kraftfahrzeuge aller Art,0.99809855,9,9.0
166,166,./test\00166.png,Vorfahrt gewähren,0.99999988,13,13.0
167,167,./test\00167.png,Stoppschild,0.99975258,14,14.0
168,168,./test\00168.png,Fahrradfahrer,0.95755553,29,29.0
169,169,./test\00169.png,Verbot der Einfahrt,0.99999988,17,17.0
170,170,./test\00170.png,Vorfahrt gewähren,0.99989235,13,13.0
171,171,./test\00171.png,Rechts vorbei,0.89032739,38,38.0
172,172,./test\00172.png,Gefahrenstelle,0.13792127,26,18.0
173,173,./test\00173.png,Baustelle,0.78975987,25,25.0
174,174,./test\00174.png,Ausschließlich rechts,0.99902487,33,33.0
175,175,./test\00175.png,Zulässige Höchstgeschwindigkeit (30),0.69538331,1,1.0
176,176,./test\00176.png,Zulässige Höchstgeschwindigkeit (100),0.18962917,3,7.0
177,177,./test\00177.png,Kreisverkehr,0.1363447,40,40.0
178,178,./test\00178.png,Vorfahrt gewähren,0.99999928,13,13.0
179,179,./test\00179.png,Zulässige Höchstgeschwindigkeit (50),0.99381644,2,2.0
180,180,./test\00180.png,Zulässige Höchstgeschwindigkeit (120),0.87199539,8,8.0
181,181,./test\00181.png,Zulässige Höchstgeschwindigkeit (70),0.62737614,4,4.0
182,182,./test\00182.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,36,42.0
183,183,./test\00183.png,Baustelle,0.99870789,25,25.0
184,184,./test\00184.png,Schleudergefahr bei Nässe oder Schmutz,0.36215097,20,23.0
185,185,./test\00185.png,Baustelle,0.99979192,25,25.0
186,186,./test\00186.png,Gefahrenstelle,0.17473532,18,18.0
187,187,./test\00187.png,Zulässige Höchstgeschwindigkeit (30),0.78526127,1,1.0
188,188,./test\00188.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.75926638,10,10.0
189,189,./test\00189.png,Zulässige Höchstgeschwindigkeit (120),0.38862884,8,8.0
190,190,./test\00190.png,Baustelle,0.1311886,10,25.0
191,191,./test\00191.png,Fahrradfahrer,0.98153633,29,29.0
192,192,./test\00192.png,Vorfahrt,0.78912973,12,12.0
193,193,./test\00193.png,Rechts vorbei,0.88756329,38,38.0
194,194,./test\00194.png,Wildwechsel,0.93392825,31,31.0
195,195,./test\00195.png,Zulässige Höchstgeschwindigkeit (50),0.99994171,2,2.0
196,196,./test\00196.png,Zulässige Höchstgeschwindigkeit (120),0.19181213,8,8.0
197,197,./test\00197.png,Ende aller Streckenverbote,0.47809172,38,32.0
198,198,./test\00198.png,Ausschließlich rechts,0.16984939999999998,18,33.0
199,199,./test\00199.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,28,42.0
200,200,./test\00200.png,Verbot der Einfahrt,1.0,17,17.0
201,201,./test\00201.png,Überholverbot für Kraftfahrzeuge aller Art,0.83464146,9,9.0
202,202,./test\00202.png,Zulässige Höchstgeschwindigkeit (70),0.50202185,4,4.0
203,203,./test\00203.png,Zulässige Höchstgeschwindigkeit (30),0.92286474,1,1.0
204,204,./test\00204.png,Verbot der Einfahrt,0.80193377,17,17.0
205,205,./test\00205.png,Überholverbot für Kraftfahrzeuge aller Art,0.77019596,9,9.0
206,206,./test\00206.png,Zulässige Höchstgeschwindigkeit (50),0.93099773,2,2.0
207,207,./test\00207.png,Wildwechsel,0.32046449,31,31.0
208,208,./test\00208.png,Vorfahrt gewähren,0.99929786,13,13.0
209,209,./test\00209.png,Verbot für Fahrzeuge aller Art,0.99955469,15,15.0
210,210,./test\00210.png,Verbot für Fahrzeuge aller Art,0.7848869,15,15.0
211,211,./test\00211.png,Rechts vorbei,0.94990176,38,38.0
212,212,./test\00212.png,Baustelle,0.99973017,25,25.0
213,213,./test\00213.png,Zulässige Höchstgeschwindigkeit (50),0.58708954,5,2.0
214,214,./test\00214.png,Baustelle,0.81713945,25,25.0
215,215,./test\00215.png,Vorfahrt gewähren,0.96963531,13,13.0
216,216,./test\00216.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.9988268,10,10.0
217,217,./test\00217.png,Zulässige Höchstgeschwindigkeit (80),0.88750219,5,5.0
218,218,./test\00218.png,Zulässige Höchstgeschwindigkeit (70),0.95174217,4,4.0
219,219,./test\00219.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.96367401,10,10.0
220,220,./test\00220.png,Zulässige Höchstgeschwindigkeit (50),0.9996075,2,2.0
221,221,./test\00221.png,Zulässige Höchstgeschwindigkeit (70),0.31717116,4,4.0
222,222,./test\00222.png,Zulässige Höchstgeschwindigkeit (80),0.542992,5,5.0
223,223,./test\00223.png,Zulässige Höchstgeschwindigkeit (30),0.9780212,1,1.0
224,224,./test\00224.png,Stoppschild,0.99996996,14,14.0
225,225,./test\00225.png,Vorfahrt,0.88644576,12,12.0
226,226,./test\00226.png,Vorfahrt,0.98458338,12,12.0
227,227,./test\00227.png,Zulässige Höchstgeschwindigkeit (80),0.97104877,5,5.0
228,228,./test\00228.png,Zulässige Höchstgeschwindigkeit (120),0.76228619,8,8.0
229,229,./test\00229.png,Baustelle,0.16983408,36,25.0
230,230,./test\00230.png,Baustelle,0.99999988,25,25.0
231,231,./test\00231.png,Vorfahrt gewähren,0.98815304,13,13.0
232,232,./test\00232.png,Ausschließlich rechts,0.9881891,33,33.0
233,233,./test\00233.png,Gefahrenstelle,0.40167314,18,18.0
234,234,./test\00234.png,Ausschließlich rechts,0.99930346,33,33.0
235,235,./test\00235.png,Wildwechsel,0.11845437,19,31.0
236,236,./test\00236.png,Vorfahrt,0.9320569,12,12.0
237,237,./test\00237.png,Rechts vorbei,0.27803841,30,38.0
238,238,./test\00238.png,Zulässige Höchstgeschwindigkeit (70),0.88840151,4,4.0
239,239,./test\00239.png,Gefahrenstelle,0.36266503,18,18.0
240,240,./test\00240.png,Vorfahrt,0.99474877,12,12.0
241,241,./test\00241.png,Vorfahrt gewähren,0.99998689,13,13.0
242,242,./test\00242.png,Schleudergefahr bei Nässe oder Schmutz,0.37849155,20,23.0
243,243,./test\00243.png,Zulässige Höchstgeschwindigkeit (20),0.4905628,0,
244,244,./test\00244.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.16394073,10,10.0
245,245,./test\00245.png,Kreisverkehr,0.99902165,40,40.0
246,246,./test\00246.png,Stoppschild,0.36953536,5,14.0
247,247,./test\00247.png,Zulässige Höchstgeschwindigkeit (80),0.19076256,8,5.0
248,248,./test\00248.png,Vorfahrt,0.74236768,12,12.0
249,249,./test\00249.png,Rechts vorbei,0.99986565,38,38.0
250,250,./test\00250.png,Baustelle,0.14210707,20,25.0
251,251,./test\00251.png,Stoppschild,0.99953866,14,14.0
252,252,./test\00252.png,Zulässige Höchstgeschwindigkeit (30),0.48676759,0,1.0
253,253,./test\00253.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,36,42.0
254,254,./test\00254.png,Rechts vorbei,0.54519826,34,38.0
255,255,./test\00255.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,28,42.0
256,256,./test\00256.png,Ausschließlich geradeaus,0.97044241,35,35.0
257,257,./test\00257.png,Vorfahrt gewähren,0.99579561,13,13.0
258,258,./test\00258.png,Baustelle,0.99986136,25,25.0
259,259,./test\00259.png,Verbot für Fahrzeuge aller Art,0.97963572,15,15.0
260,260,./test\00260.png,Ausschließlich geradeaus,0.83191043,35,35.0
261,261,./test\00261.png,Stoppschild,0.9997521,14,14.0
262,262,./test\00262.png,Gefahrenstelle,0.39925542,18,18.0
263,263,./test\00263.png,Baustelle,0.98737925,25,25.0
264,264,./test\00264.png,Zulässige Höchstgeschwindigkeit (50),0.50092292,1,2.0
265,265,./test\00265.png,Rechts vorbei,0.0772659,12,38.0
266,266,./test\00266.png,Zulässige Höchstgeschwindigkeit (50),0.14785079999999998,5,2.0
267,267,./test\00267.png,Baustelle,0.99999213,25,25.0
268,268,./test\00268.png,Zulässige Höchstgeschwindigkeit (50),0.78288704,2,2.0
269,269,./test\00269.png,Gefahrenstelle,0.8762753000000001,18,18.0
270,270,./test\00270.png,Fußgänger,0.09604175,18,27.0
271,271,./test\00271.png,Gefahrenstelle,0.30007872,18,18.0
272,272,./test\00272.png,Rechts vorbei,0.6247052,34,38.0
273,273,./test\00273.png,Überholverbot für Kraftfahrzeuge aller Art,0.31520468,9,9.0
274,274,./test\00274.png,Baustelle,0.99977857,25,25.0
275,275,./test\00275.png,Gefahrenstelle,0.10766867,18,18.0
276,276,./test\00276.png,Rechts vorbei,0.04968003,34,38.0
277,277,./test\00277.png,Ausschließlich rechts,0.13416557,39,33.0
278,278,./test\00278.png,Wildwechsel,0.85995209,31,31.0
279,279,./test\00279.png,Zulässige Höchstgeschwindigkeit (30),0.90024304,1,1.0
280,280,./test\00280.png,Zulässige Höchstgeschwindigkeit (60),0.53175491,9,3.0
281,281,./test\00281.png,Ausschließlich geradeaus,0.23928067,35,35.0
282,282,./test\00282.png,Wildwechsel,0.38271099,31,31.0
283,283,./test\00283.png,Gefahrenstelle,0.14906564,26,18.0
284,284,./test\00284.png,Zulässige Höchstgeschwindigkeit (30),0.96949917,1,1.0
285,285,./test\00285.png,Zulässige Höchstgeschwindigkeit (30),0.54603666,1,1.0
286,286,./test\00286.png,Ausschließlich rechts,0.99806231,33,33.0
287,287,./test\00287.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.10403997,30,10.0
288,288,./test\00288.png,Verbot der Einfahrt,1.0,17,17.0
289,289,./test\00289.png,Vorfahrt gewähren,0.99975568,13,13.0
290,290,./test\00290.png,Zulässige Höchstgeschwindigkeit (50),0.79474014,1,2.0
291,291,./test\00291.png,Wildwechsel,0.96287376,31,31.0
292,292,./test\00292.png,Vorfahrt gewähren,0.99930429,13,13.0
293,293,./test\00293.png,Ausschließlich geradeaus,0.97049785,35,35.0
294,294,./test\00294.png,Zulässige Höchstgeschwindigkeit (80),0.52531469,5,5.0
295,295,./test\00295.png,Zulässige Höchstgeschwindigkeit (30),0.98163146,1,1.0
296,296,./test\00296.png,Ausschließlich rechts,0.99982327,33,33.0
297,297,./test\00297.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,28,42.0
298,298,./test\00298.png,Ausschließlich geradeaus,0.99999952,35,35.0
299,299,./test\00299.png,Fußgänger,0.1078928,26,27.0
300,300,./test\00300.png,Vorfahrt,0.93261933,12,12.0
301,301,./test\00301.png,Zulässige Höchstgeschwindigkeit (80),0.65059274,5,5.0
302,302,./test\00302.png,Zulässige Höchstgeschwindigkeit (50),0.47224855,2,2.0
303,303,./test\00303.png,Stoppschild,0.99996519,14,14.0
304,304,./test\00304.png,Baustelle,0.48134625,4,25.0
305,305,./test\00305.png,Baustelle,0.15157041,3,25.0
306,306,./test\00306.png,Ende aller Streckenverbote,0.34443185,32,32.0
307,307,./test\00307.png,Zulässige Höchstgeschwindigkeit (30),0.52097464,1,1.0
308,308,./test\00308.png,Zulässige Höchstgeschwindigkeit (100),0.61650723,7,7.0
309,309,./test\00309.png,Ausschließlich rechts,0.33062747,38,33.0
310,310,./test\00310.png,Wildwechsel,0.18382643,19,31.0
311,311,./test\00311.png,Doppelkurve (zunächst links),0.85635144,11,21.0
312,312,./test\00312.png,Rechts vorbei,0.86377937,38,38.0
313,313,./test\00313.png,Rechts vorbei,0.98720723,38,38.0
314,314,./test\00314.png,Zulässige Höchstgeschwindigkeit (50),0.34948587,1,2.0
315,315,./test\00315.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.89357209,42,42.0
316,316,./test\00316.png,Zulässige Höchstgeschwindigkeit (50),0.99921536,2,2.0
317,317,./test\00317.png,Kreisverkehr,0.77419317,40,40.0
318,318,./test\00318.png,Verbot der Einfahrt,0.99076885,17,17.0
319,319,./test\00319.png,Zulässige Höchstgeschwindigkeit (70),0.76096612,4,4.0
320,320,./test\00320.png,Zulässige Höchstgeschwindigkeit (120),0.78929394,8,8.0
321,321,./test\00321.png,Zulässige Höchstgeschwindigkeit (70),0.71844339,4,4.0
322,322,./test\00322.png,Zulässige Höchstgeschwindigkeit (80),0.37057662,5,5.0
323,323,./test\00323.png,Ende der Geschwindigkeitsbegrenzung (80),0.65507466,6,6.0
324,324,./test\00324.png,Wildwechsel,0.9848727,31,31.0
325,325,./test\00325.png,Ausschließlich geradeaus,0.99824357,35,35.0
326,326,./test\00326.png,Überholverbot für Kraftfahrzeuge aller Art,0.52985662,9,9.0
327,327,./test\00327.png,Rechts vorbei,0.99505937,38,38.0
328,328,./test\00328.png,Zulässige Höchstgeschwindigkeit (120),0.8341248,8,8.0
329,329,./test\00329.png,Zulässige Höchstgeschwindigkeit (50),0.99964452,2,2.0
330,330,./test\00330.png,Zulässige Höchstgeschwindigkeit (70),0.53414589,4,4.0
331,331,./test\00331.png,Gefahrenstelle,0.89868903,18,18.0
332,332,./test\00332.png,Zulässige Höchstgeschwindigkeit (60),0.19211046,3,3.0
333,333,./test\00333.png,Baustelle,1.0,25,25.0
334,334,./test\00334.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.99998212,10,10.0
335,335,./test\00335.png,Zulässige Höchstgeschwindigkeit (80),0.41901848,6,5.0
