,name,class,confidence,target_id,actual_id
34,./test\00034.png,Zulässige Höchstgeschwindigkeit (50),0.99997401,2,
35,./test\00035.png,Verbot der Einfahrt,0.99999952,17,
36,./test\00036.png,Zulässige Höchstgeschwindigkeit (60),0.88725621,3,
37,./test\00037.png,Vorfahrt,0.9742921,12,
38,./test\00038.png,"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t",0.99985206,16,
39,./test\00039.png,Zulässige Höchstgeschwindigkeit (120),0.17269813,8,
40,./test\00040.png,Zulässige Höchstgeschwindigkeit (100),0.40529132,7,
41,./test\00041.png,Einmalige Vorfahrt,0.23976952,30,
42,./test\00042.png,Gefahrenstelle,0.96779412,18,
43,./test\00043.png,Vorfahrt,0.66535366,12,
44,./test\00044.png,Doppelkurve (zunächst links),0.04033833,24,
45,./test\00045.png,Baustelle,0.56662351,25,
46,./test\00046.png,Zulässige Höchstgeschwindigkeit (60),0.73456597,3,
47,./test\00047.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.98762232,10,
48,./test\00048.png,Vorfahrt,0.11728182,18,
49,./test\00049.png,Baustelle,0.33754504,8,
50,./test\00050.png,Zulässige Höchstgeschwindigkeit (70),0.38300177,25,
51,./test\00051.png,Vorfahrt gewähren,0.9999882,13,
52,./test\00052.png,Verbot für Fahrzeuge aller Art,0.99543166,15,
53,./test\00053.png,Überholverbot für Kraftfahrzeuge aller Art,0.99095273,9,
54,./test\00054.png,Vorfahrt gewähren,0.99309254,13,
55,./test\00055.png,Ausschließlich geradeaus,0.99817657,35,
56,./test\00056.png,Zulässige Höchstgeschwindigkeit (80),0.64765674,5,
57,./test\00057.png,Gefahrenstelle,0.17702895,26,
58,./test\00058.png,Überholverbot für Kraftfahrzeuge aller Art,0.8808555,9,
59,./test\00059.png,"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t",0.97496313,16,
60,./test\00060.png,Rechts vorbei,0.94643742,38,
61,./test\00061.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.79960483,10,
62,./test\00062.png,Zulässige Höchstgeschwindigkeit (70),0.9485355,4,
63,./test\00063.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.22435217,9,
64,./test\00064.png,Verbot für Fahrzeuge aller Art,0.87795782,15,
65,./test\00065.png,Überholverbot für Kraftfahrzeuge aller Art,0.9997681999999999,9,
66,./test\00066.png,Gefahrenstelle,0.12223086,26,
67,./test\00067.png,Zulässige Höchstgeschwindigkeit (50),0.64020604,2,
68,./test\00068.png,Zulässige Höchstgeschwindigkeit (70),0.50943154,5,
69,./test\00069.png,Vorfahrt gewähren,0.4775281,28,
70,./test\00070.png,Einmalige Vorfahrt,0.99558264,11,
71,./test\00071.png,Baustelle,0.84687322,25,
72,./test\00072.png,Gefahrenstelle,0.12469828,30,
73,./test\00073.png,Ausschließlich rechts,0.11006419,34,
74,./test\00074.png,Zulässige Höchstgeschwindigkeit (50),0.47752264,5,
75,./test\00075.png,Vorfahrt,0.96747613,12,
76,./test\00076.png,Zulässige Höchstgeschwindigkeit (30),0.87659609,1,
77,./test\00077.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.97828501,10,
78,./test\00078.png,Zulässige Höchstgeschwindigkeit (50),0.50597996,25,
79,./test\00079.png,Zulässige Höchstgeschwindigkeit (50),0.49391088,25,
80,./test\00080.png,Doppelkurve (zunächst links),0.90016049,21,
81,./test\00081.png,Ausschließlich rechts,0.98723829,33,
82,./test\00082.png,Baustelle,0.89701414,25,
83,./test\00083.png,Zulässige Höchstgeschwindigkeit (80),0.17154033,7,
84,./test\00084.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.99832386,10,
85,./test\00085.png,Ausschließlich geradeaus,0.68037188,35,
86,./test\00086.png,Zulässige Höchstgeschwindigkeit (60),0.66627169,3,
87,./test\00087.png,Zulässige Höchstgeschwindigkeit (120),0.27365893,7,
88,./test\00088.png,Unebene Fahrbahn,0.73342144,22,
89,./test\00089.png,Vorfahrt gewähren,0.94418085,13,
90,./test\00090.png,Zulässige Höchstgeschwindigkeit (80),0.26774231,3,
91,./test\00091.png,Zulässige Höchstgeschwindigkeit (30),0.94605851,1,
92,./test\00092.png,Zulässige Höchstgeschwindigkeit (50),0.9686326999999999,2,
93,./test\00093.png,Stoppschild,0.97568965,14,
94,./test\00094.png,Vorfahrt,0.99906796,12,
95,./test\00095.png,Ende aller Streckenverbote,0.63474524,32,
96,./test\00096.png,Zulässige Höchstgeschwindigkeit (60),0.72245008,3,
97,./test\00097.png,Rechts vorbei,0.92865312,38,
98,./test\00098.png,Überholverbot für Kraftfahrzeuge aller Art,0.93268615,9,
99,./test\00099.png,Ausschließlich rechts,0.99882025,33,
100,./test\00100.png,Zulässige Höchstgeschwindigkeit (30),0.98175722,1,
101,./test\00101.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.99775428,10,
102,./test\00102.png,Zulässige Höchstgeschwindigkeit (80),0.31607819,5,
103,./test\00103.png,Einmalige Vorfahrt,0.91535968,11,
104,./test\00104.png,Ausschließlich rechts,0.99995232,33,
105,./test\00105.png,Zulässige Höchstgeschwindigkeit (70),0.98392707,4,
106,./test\00106.png,Ausschließlich geradeaus,0.66488075,35,
107,./test\00107.png,Baustelle,0.98017395,25,
108,./test\00108.png,Ausschließlich rechts,0.99997437,33,
109,./test\00109.png,Zulässige Höchstgeschwindigkeit (70),0.42973676,4,
110,./test\00110.png,Zulässige Höchstgeschwindigkeit (30),0.92264354,1,
111,./test\00111.png,Stoppschild,0.99995387,14,
112,./test\00112.png,"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t",0.86251289,16,
113,./test\00113.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.99350893,10,
114,./test\00114.png,Wildwechsel,0.10339272,30,
115,./test\00115.png,Zulässige Höchstgeschwindigkeit (60),0.94862497,3,
116,./test\00116.png,Fußgänger,0.22523086,27,
117,./test\00117.png,Fahrradfahrer,0.27376145,29,
118,./test\00118.png,Zulässige Höchstgeschwindigkeit (30),0.93005645,1,
119,./test\00119.png,Verbot der Einfahrt,0.9584676,17,
120,./test\00120.png,Vorfahrt gewähren,0.9999969000000001,13,
121,./test\00121.png,Zulässige Höchstgeschwindigkeit (100),0.6855334,7,
122,./test\00122.png,Zulässige Höchstgeschwindigkeit (70),0.68943745,1,
123,./test\00123.png,Zulässige Höchstgeschwindigkeit (120),0.85288531,8,
124,./test\00124.png,Zulässige Höchstgeschwindigkeit (50),0.99717158,2,
125,./test\00125.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.96859902,10,
126,./test\00126.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.98613924,10,
127,./test\00127.png,Wildwechsel,0.20903546,30,
128,./test\00128.png,Zulässige Höchstgeschwindigkeit (30),0.96373945,1,
129,./test\00129.png,Zulässige Höchstgeschwindigkeit (80),0.29944041,6,
130,./test\00130.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,36,
131,./test\00131.png,Rechts vorbei,0.08104515,3,
132,./test\00132.png,Stoppschild,0.98362929,14,
133,./test\00133.png,Vorfahrt gewähren,0.99926561,13,
134,./test\00134.png,Einmalige Vorfahrt,0.99845266,11,
135,./test\00135.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.93668878,10,
136,./test\00136.png,Gefahrenstelle,0.91805404,18,
137,./test\00137.png,Zulässige Höchstgeschwindigkeit (100),0.05917352,40,
138,./test\00138.png,Zulässige Höchstgeschwindigkeit (50),0.98618871,2,
139,./test\00139.png,Rechts vorbei,0.99992013,38,
140,./test\00140.png,Überholverbot für Kraftfahrzeuge aller Art,0.25400281,41,
141,./test\00141.png,Zulässige Höchstgeschwindigkeit (120),0.30247077,4,
142,./test\00142.png,Ende der Geschwindigkeitsbegrenzung (80),0.99405754,6,
143,./test\00143.png,Gefahrenstelle,0.18981151,18,
144,./test\00144.png,Verbot der Einfahrt,0.99999952,17,
145,./test\00145.png,Wildwechsel,0.1549152,25,
146,./test\00146.png,Zulässige Höchstgeschwindigkeit (50),0.98988497,2,
147,./test\00147.png,Überholverbot für Kraftfahrzeuge aller Art,0.83560711,41,
148,./test\00148.png,Einmalige Vorfahrt,0.93533146,11,
149,./test\00149.png,Doppelkurve (zunächst links),0.93250936,21,
150,./test\00150.png,Zulässige Höchstgeschwindigkeit (100),0.26304278,7,
151,./test\00151.png,Zulässige Höchstgeschwindigkeit (50),0.11687381,24,
152,./test\00152.png,Einmalige Vorfahrt,0.76635885,11,
153,./test\00153.png,Baustelle,0.99942386,25,
154,./test\00154.png,Verbot der Einfahrt,1.0,17,
155,./test\00155.png,Zulässige Höchstgeschwindigkeit (60),0.38969362,3,
156,./test\00156.png,Ende der Geschwindigkeitsbegrenzung (80),0.49182341,6,
157,./test\00157.png,Überholverbot für Kraftfahrzeuge aller Art,0.99990845,9,
158,./test\00158.png,Zulässige Höchstgeschwindigkeit (100),0.67270797,7,
159,./test\00159.png,Zulässige Höchstgeschwindigkeit (70),0.19810687,4,
160,./test\00160.png,Vorfahrt gewähren,0.99997711,13,
161,./test\00161.png,"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t",0.99997628,16,
162,./test\00162.png,Zulässige Höchstgeschwindigkeit (70),0.84672105,4,
163,./test\00163.png,Wildwechsel,0.17775826,25,
164,./test\00164.png,Gefahrenstelle,0.43179077,18,
165,./test\00165.png,Überholverbot für Kraftfahrzeuge aller Art,0.99809855,9,
166,./test\00166.png,Vorfahrt gewähren,0.99999988,13,
167,./test\00167.png,Stoppschild,0.99975258,14,
168,./test\00168.png,Fahrradfahrer,0.95755553,29,
169,./test\00169.png,Verbot der Einfahrt,0.99999988,17,
170,./test\00170.png,Vorfahrt gewähren,0.99989235,13,
171,./test\00171.png,Rechts vorbei,0.89032739,38,
172,./test\00172.png,Gefahrenstelle,0.13792127,26,
173,./test\00173.png,Baustelle,0.78975987,25,
174,./test\00174.png,Ausschließlich rechts,0.99902487,33,
175,./test\00175.png,Zulässige Höchstgeschwindigkeit (30),0.69538331,1,
176,./test\00176.png,Zulässige Höchstgeschwindigkeit (100),0.18962917,3,
177,./test\00177.png,Kreisverkehr,0.1363447,40,
178,./test\00178.png,Vorfahrt gewähren,0.99999928,13,
179,./test\00179.png,Zulässige Höchstgeschwindigkeit (50),0.99381644,2,
180,./test\00180.png,Zulässige Höchstgeschwindigkeit (120),0.87199539,8,
181,./test\00181.png,Zulässige Höchstgeschwindigkeit (70),0.62737614,4,
182,./test\00182.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,36,
183,./test\00183.png,Baustelle,0.99870789,25,
184,./test\00184.png,Schleudergefahr bei Nässe oder Schmutz,0.36215097,20,
185,./test\00185.png,Baustelle,0.99979192,25,
186,./test\00186.png,Gefahrenstelle,0.17473532,18,
187,./test\00187.png,Zulässige Höchstgeschwindigkeit (30),0.78526127,1,
188,./test\00188.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.75926638,10,
189,./test\00189.png,Zulässige Höchstgeschwindigkeit (120),0.38862884,8,
190,./test\00190.png,Baustelle,0.1311886,10,
191,./test\00191.png,Fahrradfahrer,0.98153633,29,
192,./test\00192.png,Vorfahrt,0.78912973,12,
193,./test\00193.png,Rechts vorbei,0.88756329,38,
194,./test\00194.png,Wildwechsel,0.93392825,31,
195,./test\00195.png,Zulässige Höchstgeschwindigkeit (50),0.99994171,2,
196,./test\00196.png,Zulässige Höchstgeschwindigkeit (120),0.19181213,8,
197,./test\00197.png,Ende aller Streckenverbote,0.47809172,38,
198,./test\00198.png,Ausschließlich rechts,0.16984939999999998,18,
199,./test\00199.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,28,
200,./test\00200.png,Verbot der Einfahrt,1.0,17,
201,./test\00201.png,Überholverbot für Kraftfahrzeuge aller Art,0.83464146,9,
202,./test\00202.png,Zulässige Höchstgeschwindigkeit (70),0.50202185,4,
203,./test\00203.png,Zulässige Höchstgeschwindigkeit (30),0.92286474,1,
204,./test\00204.png,Verbot der Einfahrt,0.80193377,17,
205,./test\00205.png,Überholverbot für Kraftfahrzeuge aller Art,0.77019596,9,
206,./test\00206.png,Zulässige Höchstgeschwindigkeit (50),0.93099773,2,
207,./test\00207.png,Wildwechsel,0.32046449,31,
208,./test\00208.png,Vorfahrt gewähren,0.99929786,13,
209,./test\00209.png,Verbot für Fahrzeuge aller Art,0.99955469,15,
210,./test\00210.png,Verbot für Fahrzeuge aller Art,0.7848869,15,
211,./test\00211.png,Rechts vorbei,0.94990176,38,
212,./test\00212.png,Baustelle,0.99973017,25,
213,./test\00213.png,Zulässige Höchstgeschwindigkeit (50),0.58708954,5,
214,./test\00214.png,Baustelle,0.81713945,25,
215,./test\00215.png,Vorfahrt gewähren,0.96963531,13,
216,./test\00216.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.9988268,10,
217,./test\00217.png,Zulässige Höchstgeschwindigkeit (80),0.88750219,5,
218,./test\00218.png,Zulässige Höchstgeschwindigkeit (70),0.95174217,4,
219,./test\00219.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.96367401,10,
220,./test\00220.png,Zulässige Höchstgeschwindigkeit (50),0.9996075000000001,2,
221,./test\00221.png,Zulässige Höchstgeschwindigkeit (70),0.31717116,4,
222,./test\00222.png,Zulässige Höchstgeschwindigkeit (80),0.542992,5,
223,./test\00223.png,Zulässige Höchstgeschwindigkeit (30),0.9780211999999999,1,
224,./test\00224.png,Stoppschild,0.99996996,14,
225,./test\00225.png,Vorfahrt,0.88644576,12,
226,./test\00226.png,Vorfahrt,0.98458338,12,
227,./test\00227.png,Zulässige Höchstgeschwindigkeit (80),0.97104877,5,
228,./test\00228.png,Zulässige Höchstgeschwindigkeit (120),0.76228619,8,
229,./test\00229.png,Baustelle,0.16983408,36,
230,./test\00230.png,Baustelle,0.99999988,25,
231,./test\00231.png,Vorfahrt gewähren,0.98815304,13,
232,./test\00232.png,Ausschließlich rechts,0.9881890999999999,33,
233,./test\00233.png,Gefahrenstelle,0.40167314,18,
234,./test\00234.png,Ausschließlich rechts,0.99930346,33,
235,./test\00235.png,Wildwechsel,0.11845437,19,
236,./test\00236.png,Vorfahrt,0.9320569,12,
237,./test\00237.png,Rechts vorbei,0.27803841,30,
238,./test\00238.png,Zulässige Höchstgeschwindigkeit (70),0.88840151,4,
239,./test\00239.png,Gefahrenstelle,0.36266503,18,
240,./test\00240.png,Vorfahrt,0.99474877,12,
241,./test\00241.png,Vorfahrt gewähren,0.99998689,13,
242,./test\00242.png,Schleudergefahr bei Nässe oder Schmutz,0.37849155,20,
243,./test\00243.png,Zulässige Höchstgeschwindigkeit (20),0.49056279999999997,0,
244,./test\00244.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.16394073,10,
245,./test\00245.png,Kreisverkehr,0.99902165,40,
246,./test\00246.png,Stoppschild,0.36953536,5,
247,./test\00247.png,Zulässige Höchstgeschwindigkeit (80),0.19076256,8,
248,./test\00248.png,Vorfahrt,0.74236768,12,
249,./test\00249.png,Rechts vorbei,0.99986565,38,
250,./test\00250.png,Baustelle,0.14210707,20,
251,./test\00251.png,Stoppschild,0.99953866,14,
252,./test\00252.png,Zulässige Höchstgeschwindigkeit (30),0.48676759,0,
253,./test\00253.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,36,
254,./test\00254.png,Rechts vorbei,0.54519826,34,
255,./test\00255.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,28,
256,./test\00256.png,Ausschließlich geradeaus,0.97044241,35,
257,./test\00257.png,Vorfahrt gewähren,0.99579561,13,
258,./test\00258.png,Baustelle,0.99986136,25,
259,./test\00259.png,Verbot für Fahrzeuge aller Art,0.97963572,15,
260,./test\00260.png,Ausschließlich geradeaus,0.83191043,35,
261,./test\00261.png,Stoppschild,0.9997521,14,
262,./test\00262.png,Gefahrenstelle,0.39925542,18,
263,./test\00263.png,Baustelle,0.98737925,25,
264,./test\00264.png,Zulässige Höchstgeschwindigkeit (50),0.50092292,1,
265,./test\00265.png,Rechts vorbei,0.0772659,12,
266,./test\00266.png,Zulässige Höchstgeschwindigkeit (50),0.14785079999999998,5,
267,./test\00267.png,Baustelle,0.99999213,25,
268,./test\00268.png,Zulässige Höchstgeschwindigkeit (50),0.78288704,2,
269,./test\00269.png,Gefahrenstelle,0.8762753000000001,18,
270,./test\00270.png,Fußgänger,0.09604175,18,
271,./test\00271.png,Gefahrenstelle,0.30007872,18,
272,./test\00272.png,Rechts vorbei,0.6247052,34,
273,./test\00273.png,Überholverbot für Kraftfahrzeuge aller Art,0.31520468,9,
274,./test\00274.png,Baustelle,0.99977857,25,
275,./test\00275.png,Gefahrenstelle,0.10766867,18,
276,./test\00276.png,Rechts vorbei,0.04968003,34,
277,./test\00277.png,Ausschließlich rechts,0.13416557,39,
278,./test\00278.png,Wildwechsel,0.85995209,31,
279,./test\00279.png,Zulässige Höchstgeschwindigkeit (30),0.90024304,1,
280,./test\00280.png,Zulässige Höchstgeschwindigkeit (60),0.53175491,9,
281,./test\00281.png,Ausschließlich geradeaus,0.23928067,35,
282,./test\00282.png,Wildwechsel,0.38271099,31,
283,./test\00283.png,Gefahrenstelle,0.14906564,26,
284,./test\00284.png,Zulässige Höchstgeschwindigkeit (30),0.96949917,1,
285,./test\00285.png,Zulässige Höchstgeschwindigkeit (30),0.54603666,1,
286,./test\00286.png,Ausschließlich rechts,0.99806231,33,
287,./test\00287.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.10403997,30,
288,./test\00288.png,Verbot der Einfahrt,1.0,17,
289,./test\00289.png,Vorfahrt gewähren,0.99975568,13,
290,./test\00290.png,Zulässige Höchstgeschwindigkeit (50),0.79474014,1,
291,./test\00291.png,Wildwechsel,0.96287376,31,
292,./test\00292.png,Vorfahrt gewähren,0.99930429,13,
293,./test\00293.png,Ausschließlich geradeaus,0.97049785,35,
294,./test\00294.png,Zulässige Höchstgeschwindigkeit (80),0.52531469,5,
295,./test\00295.png,Zulässige Höchstgeschwindigkeit (30),0.98163146,1,
296,./test\00296.png,Ausschließlich rechts,0.99982327,33,
297,./test\00297.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,28,
298,./test\00298.png,Ausschließlich geradeaus,0.99999952,35,
299,./test\00299.png,Fußgänger,0.10789280000000001,26,
300,./test\00300.png,Vorfahrt,0.93261933,12,
301,./test\00301.png,Zulässige Höchstgeschwindigkeit (80),0.65059274,5,
302,./test\00302.png,Zulässige Höchstgeschwindigkeit (50),0.47224855,2,
303,./test\00303.png,Stoppschild,0.99996519,14,
304,./test\00304.png,Baustelle,0.48134625,4,
305,./test\00305.png,Baustelle,0.15157041,3,
306,./test\00306.png,Ende aller Streckenverbote,0.34443185,32,
307,./test\00307.png,Zulässige Höchstgeschwindigkeit (30),0.52097464,1,
308,./test\00308.png,Zulässige Höchstgeschwindigkeit (100),0.61650723,7,
309,./test\00309.png,Ausschließlich rechts,0.33062747,38,
310,./test\00310.png,Wildwechsel,0.18382643,19,
311,./test\00311.png,Doppelkurve (zunächst links),0.85635144,11,
312,./test\00312.png,Rechts vorbei,0.86377937,38,
313,./test\00313.png,Rechts vorbei,0.98720723,38,
314,./test\00314.png,Zulässige Höchstgeschwindigkeit (50),0.34948587,1,
315,./test\00315.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.89357209,42,
316,./test\00316.png,Zulässige Höchstgeschwindigkeit (50),0.99921536,2,
317,./test\00317.png,Kreisverkehr,0.77419317,40,
318,./test\00318.png,Verbot der Einfahrt,0.99076885,17,
319,./test\00319.png,Zulässige Höchstgeschwindigkeit (70),0.76096612,4,
320,./test\00320.png,Zulässige Höchstgeschwindigkeit (120),0.78929394,8,
321,./test\00321.png,Zulässige Höchstgeschwindigkeit (70),0.71844339,4,
322,./test\00322.png,Zulässige Höchstgeschwindigkeit (80),0.37057662,5,
323,./test\00323.png,Ende der Geschwindigkeitsbegrenzung (80),0.65507466,6,
324,./test\00324.png,Wildwechsel,0.9848726999999999,31,
325,./test\00325.png,Ausschließlich geradeaus,0.99824357,35,
326,./test\00326.png,Überholverbot für Kraftfahrzeuge aller Art,0.52985662,9,
327,./test\00327.png,Rechts vorbei,0.99505937,38,
328,./test\00328.png,Zulässige Höchstgeschwindigkeit (120),0.8341248,8,
329,./test\00329.png,Zulässige Höchstgeschwindigkeit (50),0.99964452,2,
330,./test\00330.png,Zulässige Höchstgeschwindigkeit (70),0.53414589,4,
331,./test\00331.png,Gefahrenstelle,0.89868903,18,
332,./test\00332.png,Zulässige Höchstgeschwindigkeit (60),0.19211046,3,
333,./test\00333.png,Baustelle,1.0,25,
334,./test\00334.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.99998212,10,
335,./test\00335.png,Zulässige Höchstgeschwindigkeit (80),0.41901848,6,
336,./test\00336.png,Zulässige Höchstgeschwindigkeit (100),0.45417836,7,
337,./test\00337.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,34,
338,./test\00338.png,Zulässige Höchstgeschwindigkeit (70),0.5532104999999999,4,
339,./test\00339.png,Unebene Fahrbahn,0.73556417,22,
340,./test\00340.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.99774903,10,
341,./test\00341.png,Fahrradfahrer,0.9777776,29,
342,./test\00342.png,Überholverbot für Kraftfahrzeuge aller Art,0.8005681,9,
343,./test\00343.png,Zulässige Höchstgeschwindigkeit (50),0.98776734,2,
344,./test\00344.png,Rechts vorbei,0.99991095,38,
345,./test\00345.png,Rechts vorbei,0.99984062,38,
346,./test\00346.png,Gefahrenstelle,0.99065745,18,
347,./test\00347.png,Zulässige Höchstgeschwindigkeit (120),0.69206637,7,
348,./test\00348.png,Vorfahrt gewähren,0.8298732,13,
349,./test\00349.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.02272727,28,
350,./test\00350.png,Verbot der Einfahrt,0.99992955,17,
351,./test\00351.png,Zulässige Höchstgeschwindigkeit (50),0.68388313,2,
352,./test\00352.png,"Verbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse von 3,5t",0.99999833,16,
353,./test\00353.png,Stoppschild,0.99990487,14,
354,./test\00354.png,Vorfahrt,1.0,12,
355,./test\00355.png,Zulässige Höchstgeschwindigkeit (100),0.10830047,40,
356,./test\00356.png,Ausschließlich geradeaus,0.99877924,35,
357,./test\00357.png,Zulässige Höchstgeschwindigkeit (60),0.56842852,3,
358,./test\00358.png,Rechts vorbei,0.99966013,38,
359,./test\00359.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.99688125,10,
360,./test\00360.png,Überholverbot für Kraftfahrzeuge aller Art,0.99999976,9,
361,./test\00361.png,Rechts vorbei,0.24290636,38,
362,./test\00362.png,Vorfahrt gewähren,0.87729996,13,
363,./test\00363.png,Zulässige Höchstgeschwindigkeit (70),0.10599772,39,
364,./test\00364.png,Zulässige Höchstgeschwindigkeit (60),0.70002079,3,
365,./test\00365.png,Einmalige Vorfahrt,0.66635191,11,
366,./test\00366.png,Zulässige Höchstgeschwindigkeit (100),0.9978503000000001,7,
367,./test\00367.png,Rechts vorbei,0.30060282,38,
368,./test\00368.png,Wildwechsel,0.16246995,19,
369,./test\00369.png,Vorfahrt gewähren,0.99959356,13,
370,./test\00370.png,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.26397282,10,
371,./test\00371.png,Gefahrenstelle,0.33800492,18,
372,./test\00372.png,Zulässige Höchstgeschwindigkeit (60),0.24324515,3,
373,./test\00373.png,Zulässige Höchstgeschwindigkeit (80),0.90982682,5,
374,./test\00374.png,Rechts vorbei,0.15615829999999997,26,
375,./test\00375.png,Zulässige Höchstgeschwindigkeit (30),0.50219685,1,
376,./test\00376.png,"Ende des Überholverbotes für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.31603977,41,
377,./test\00377.png,Vorfahrt gewähren,0.99999988,13,
378,./test\00378.png,Zulässige Höchstgeschwindigkeit (30),0.98043424,1,
